Spread,Trade
1*NGU25 - 2*NGV25 + 1*NGX25 - 1*NGH24 + 2*NGJ24 - 1*NGK24,Short
1*NGU25 - 2*NGV25 + 1*NGX25 - 1*NGU24 + 2*NGV24 - 1*NGX24,Short
1*NGV25 - 2*NGX25 + 1*NGZ25 - 1*NGK24 + 2*NGM24 - 1*NGN24,Long
1*NGV25 - 2*NGX25 + 1*NGZ25 - 1*NGN24 + 2*NGQ24 - 1*NGU24,Long
1*NGV25 - 2*NGX25 + 1*NGZ25 - 1*NGQ25 + 2*NGU25 - 1*NGV25,Short
1*CLV24 - 1*CLX24 - 1*CLK24 + 1*CLM24,Short
1*CLX24 - 1*CLZ24 - 1*CLV24 + 1*CLX24,Long
1*HOM24 - 1*HON24 - 1*HOU24 + 1*HOV24,Short
1*HOM25 - 1*HON25 - 1*HOU25 + 1*HOV25,Short
1*KCH25 - 1*KCK25 - 1*KCH24 + 1*KCK24,Long
1*KCN24 - 1*KCU24 - 1*KCH25 + 1*KCK25,Short
1*NGQ24 - 1*NGU24 - 1*NGX25 + 1*NGZ25,Long
1*NGU24 - 1*NGV24 - 1*NGX25 + 1*NGZ25,Long
1*NGV24 - 1*NGX24 - 1*NGV25 + 1*NGX25,Short
